______________________________	 Running Epoch 1 of 10 	______________________________
[Training] Itteration/Batch:   0/2176: Loss: 1.78 | Accuracy: 0.45
[Training] Itteration/Batch: 1400/2176: Loss: 0.70 | Accuracy: 0.97
[Training] Itteration/Batch: 1425/2176: Loss: 0.33 | Accuracy: 0.98
[Training] Itteration/Batch: 1450/2176: Loss: 2.11 | Accuracy: 0.84
[Training] Itteration/Batch: 1475/2176: Loss: 2.08 | Accuracy: 0.93
[Training] Itteration/Batch: 1500/2176: Loss: 0.31 | Accuracy: 1.00
[Training] Itteration/Batch: 1525/2176: Loss: 0.86 | Accuracy: 0.95
[Training] Itteration/Batch: 1550/2176: Loss: 1.13 | Accuracy: 0.93
[Training] Itteration/Batch: 1575/2176: Loss: 1.40 | Accuracy: 0.89
[Training] Itteration/Batch: 1600/2176: Loss: 0.35 | Accuracy: 1.00
[Training] Itteration/Batch: 1625/2176: Loss: 0.43 | Accuracy: 0.98
[Training] Itteration/Batch: 1650/2176: Loss: 0.30 | Accuracy: 1.00
[Training] Itteration/Batch: 1675/2176: Loss: 0.24 | Accuracy: 1.00
[Training] Itteration/Batch: 1700/2176: Loss: 0.23 | Accuracy: 1.00
[Training] Itteration/Batch: 1725/2176: Loss: 0.23 | Accuracy: 1.00
[Training] Itteration/Batch: 1750/2176: Loss: 2.34 | Accuracy: 0.91
[Training] Itteration/Batch: 1775/2176: Loss: 3.19 | Accuracy: 0.90
[Training] Itteration/Batch: 1800/2176: Loss: 1.09 | Accuracy: 0.95
[Training] Itteration/Batch: 1825/2176: Loss: 1.85 | Accuracy: 0.98
[Training] Itteration/Batch: 1850/2176: Loss: 0.29 | Accuracy: 1.00
[Training] Itteration/Batch: 1875/2176: Loss: 1.06 | Accuracy: 0.92
[Training] Itteration/Batch: 1900/2176: Loss: 0.71 | Accuracy: 0.94
[Training] Itteration/Batch: 1925/2176: Loss: 1.25 | Accuracy: 0.93
[Training] Itteration/Batch: 1950/2176: Loss: 4.46 | Accuracy: 0.84
[Training] Itteration/Batch: 1975/2176: Loss: 0.32 | Accuracy: 1.00
[Training] Itteration/Batch: 2000/2176: Loss: 0.85 | Accuracy: 0.87
[Training] Itteration/Batch: 2025/2176: Loss: 1.27 | Accuracy: 0.98
[Training] Itteration/Batch: 2050/2176: Loss: 0.24 | Accuracy: 1.00
[Training] Itteration/Batch: 2075/2176: Loss: 1.32 | Accuracy: 0.87
[Training] Itteration/Batch: 2100/2176: Loss: 1.43 | Accuracy: 0.98
[Training] Itteration/Batch: 2125/2176: Loss: 0.26 | Accuracy: 1.00
[Training] Itteration/Batch: 2150/2176: Loss: 1.11 | Accuracy: 0.98
[Training] Itteration/Batch: 2175/2176: Loss: 4.16 | Accuracy: 0.92

Epoch 3: Val Bin. F1 Majority 0.45395588874816895 | Val Macro F1 Majority 0.717594453187393 |             Val Bin F1 Individual 0.4108310043811798 | Val Macro F1 Individual 0.6937566547011005 |             Val Accuracy Majority 0.9637131690979004 | Val Accuracy Individual 0.9551400542259216 | Training Loss:1.0001020431518555 |             Val Loss 1.0580002069473267 | Train Runtime Millis 227809.02917400817 | Val Runtime Millis 43503.32489100401

______________________________	 Running Epoch 4 of 10 	______________________________
[Training] Itteration/Batch:   0/2176: Loss: 1.01 | Accuracy: 0.91
[Training] Itteration/Batch:  25/2176: Loss: 1.28 | Accuracy: 0.94
[Training] Itteration/Batch:  50/2176: Loss: 0.32 | Accuracy: 1.00
[Training] Itteration/Batch:  75/2176: Loss: 0.28 | Accuracy: 1.00
[Training] Itteration/Batch: 100/2176: Loss: 0.52 | Accuracy: 0.96
[Training] Itteration/Batch: 125/2176: Loss: 0.33 | Accuracy: 1.00
[Training] Itteration/Batch: 150/2176: Loss: 0.68 | Accuracy: 0.95
[Training] Itteration/Batch: 175/2176: Loss: 1.01 | Accuracy: 0.94
[Training] Itteration/Batch: 200/2176: Loss: 0.85 | Accuracy: 0.98
[Training] Itteration/Batch: 225/2176: Loss: 0.48 | Accuracy: 0.95
[Training] Itteration/Batch: 250/2176: Loss: 0.87 | Accuracy: 0.93
[Training] Itteration/Batch: 275/2176: Loss: 2.43 | Accuracy: 0.91
[Training] Itteration/Batch: 300/2176: Loss: 0.64 | Accuracy: 0.95
[Training] Itteration/Batch: 325/2176: Loss: 0.66 | Accuracy: 0.92
[Training] Itteration/Batch: 350/2176: Loss: 0.41 | Accuracy: 1.00
[Training] Itteration/Batch: 375/2176: Loss: 0.27 | Accuracy: 1.00
[Training] Itteration/Batch: 400/2176: Loss: 0.29 | Accuracy: 1.00
[Training] Itteration/Batch: 425/2176: Loss: 0.48 | Accuracy: 0.98
[Training] Itteration/Batch: 450/2176: Loss: 0.35 | Accuracy: 1.00
[Training] Itteration/Batch: 475/2176: Loss: 0.20 | Accuracy: 1.00
[Training] Itteration/Batch: 500/2176: Loss: 1.30 | Accuracy: 0.95
[Training] Itteration/Batch: 525/2176: Loss: 1.37 | Accuracy: 0.94
[Training] Itteration/Batch: 550/2176: Loss: 0.94 | Accuracy: 0.98
[Training] Itteration/Batch: 575/2176: Loss: 3.15 | Accuracy: 0.93
[Training] Itteration/Batch: 600/2176: Loss: 0.33 | Accuracy: 0.96
[Training] Itteration/Batch: 625/2176: Loss: 0.25 | Accuracy: 1.00
[Training] Itteration/Batch: 650/2176: Loss: 0.60 | Accuracy: 0.93
[Training] Itteration/Batch: 675/2176: Loss: 1.01 | Accuracy: 0.93
[Training] Itteration/Batch: 700/2176: Loss: 0.27 | Accuracy: 1.00
[Training] Itteration/Batch: 725/2176: Loss: 0.61 | Accuracy: 0.95
[Training] Itteration/Batch: 750/2176: Loss: 0.41 | Accuracy: 0.94
[Training] Itteration/Batch: 775/2176: Loss: 0.41 | Accuracy: 0.98
[Training] Itteration/Batch: 800/2176: Loss: 0.23 | Accuracy: 1.00
[Training] Itteration/Batch: 825/2176: Loss: 1.15 | Accuracy: 0.92
[Training] Itteration/Batch: 850/2176: Loss: 0.25 | Accuracy: 1.00
[Training] Itteration/Batch: 875/2176: Loss: 0.75 | Accuracy: 0.97
[Training] Itteration/Batch: 900/2176: Loss: 0.55 | Accuracy: 0.98
[Training] Itteration/Batch: 925/2176: Loss: 0.24 | Accuracy: 1.00
[Training] Itteration/Batch: 950/2176: Loss: 1.43 | Accuracy: 0.93
[Training] Itteration/Batch: 975/2176: Loss: 0.26 | Accuracy: 1.00
[Training] Itteration/Batch: 1000/2176: Loss: 0.30 | Accuracy: 0.98
[Training] Itteration/Batch: 1025/2176: Loss: 0.71 | Accuracy: 0.99
[Training] Itteration/Batch: 1050/2176: Loss: 0.40 | Accuracy: 0.94
[Training] Itteration/Batch: 1075/2176: Loss: 2.26 | Accuracy: 0.90
[Training] Itteration/Batch: 1100/2176: Loss: 1.40 | Accuracy: 0.89
[Training] Itteration/Batch: 1125/2176: Loss: 0.21 | Accuracy: 1.00
[Training] Itteration/Batch: 1150/2176: Loss: 0.50 | Accuracy: 1.00
[Training] Itteration/Batch: 1175/2176: Loss: 0.44 | Accuracy: 1.00
[Training] Itteration/Batch: 1200/2176: Loss: 1.99 | Accuracy: 0.87
[Training] Itteration/Batch: 1225/2176: Loss: 2.88 | Accuracy: 0.95
[Training] Itteration/Batch: 1250/2176: Loss: 0.54 | Accuracy: 0.97
[Training] Itteration/Batch: 1275/2176: Loss: 1.16 | Accuracy: 0.91
[Training] Itteration/Batch: 1300/2176: Loss: 1.29 | Accuracy: 0.82
[Training] Itteration/Batch: 1325/2176: Loss: 1.95 | Accuracy: 0.87
[Training] Itteration/Batch: 1350/2176: Loss: 0.77 | Accuracy: 0.93
[Training] Itteration/Batch: 1375/2176: Loss: 3.23 | Accuracy: 0.96
[Training] Itteration/Batch: 1400/2176: Loss: 0.83 | Accuracy: 0.95
[Training] Itteration/Batch: 1425/2176: Loss: 0.68 | Accuracy: 0.92
[Training] Itteration/Batch: 1450/2176: Loss: 0.57 | Accuracy: 0.94
[Training] Itteration/Batch: 1475/2176: Loss: 2.89 | Accuracy: 0.94
[Training] Itteration/Batch: 1500/2176: Loss: 2.81 | Accuracy: 0.97
[Training] Itteration/Batch: 1525/2176: Loss: 0.62 | Accuracy: 0.98
[Training] Itteration/Batch: 1550/2176: Loss: 2.32 | Accuracy: 0.98
[Training] Itteration/Batch: 1575/2176: Loss: 0.53 | Accuracy: 0.95
[Training] Itteration/Batch: 1600/2176: Loss: 2.18 | Accuracy: 0.87
[Training] Itteration/Batch: 1625/2176: Loss: 1.22 | Accuracy: 0.85
[Training] Itteration/Batch: 1650/2176: Loss: 0.58 | Accuracy: 0.98
[Training] Itteration/Batch: 1675/2176: Loss: 0.25 | Accuracy: 1.00
[Training] Itteration/Batch: 1700/2176: Loss: 0.65 | Accuracy: 0.93
[Training] Itteration/Batch: 1725/2176: Loss: 1.78 | Accuracy: 1.00
[Training] Itteration/Batch: 1750/2176: Loss: 0.89 | Accuracy: 0.94
[Training] Itteration/Batch: 1775/2176: Loss: 0.22 | Accuracy: 1.00
[Training] Itteration/Batch: 1800/2176: Loss: 0.25 | Accuracy: 1.00
[Training] Itteration/Batch: 1825/2176: Loss: 0.53 | Accuracy: 0.93
[Training] Itteration/Batch: 1850/2176: Loss: 0.73 | Accuracy: 0.93
[Training] Itteration/Batch: 1875/2176: Loss: 0.92 | Accuracy: 0.96
[Training] Itteration/Batch: 1900/2176: Loss: 0.67 | Accuracy: 0.98
[Training] Itteration/Batch: 1925/2176: Loss: 0.63 | Accuracy: 0.89
[Training] Itteration/Batch: 1950/2176: Loss: 1.09 | Accuracy: 0.91
[Training] Itteration/Batch: 1975/2176: Loss: 1.21 | Accuracy: 0.98
[Training] Itteration/Batch: 2000/2176: Loss: 0.68 | Accuracy: 0.98
[Training] Itteration/Batch: 2025/2176: Loss: 0.41 | Accuracy: 0.98
[Training] Itteration/Batch: 2050/2176: Loss: 0.80 | Accuracy: 0.91
[Training] Itteration/Batch: 2075/2176: Loss: 0.19 | Accuracy: 1.00
[Training] Itteration/Batch: 2100/2176: Loss: 0.23 | Accuracy: 1.00
[Training] Itteration/Batch: 2125/2176: Loss: 0.30 | Accuracy: 1.00
[Training] Itteration/Batch: 2150/2176: Loss: 0.22 | Accuracy: 1.00
[Training] Itteration/Batch: 2175/2176: Loss: 0.27 | Accuracy: 1.00

Epoch 4: Val Bin. F1 Majority 0.4031355082988739 | Val Macro F1 Majority 0.6896229685586373 |             Val Bin F1 Individual 0.3874896168708801 | Val Macro F1 Individual 0.6800476216419011 |             Val Accuracy Majority 0.9540596604347229 | Val Accuracy Individual 0.947556734085083 | Training Loss:0.8716868758201599 |             Val Loss 1.0396697521209717 | Train Runtime Millis 227407.01283700764 | Val Runtime Millis 43647.77696100646

______________________________	 Running Epoch 5 of 10 	______________________________
[Training] Itteration/Batch:   0/2176: Loss: 0.45 | Accuracy: 0.96
[Training] Itteration/Batch:  25/2176: Loss: 0.78 | Accuracy: 1.00
[Training] Itteration/Batch:  50/2176: Loss: 0.21 | Accuracy: 1.00
[Training] Itteration/Batch:  75/2176: Loss: 0.51 | Accuracy: 1.00
[Training] Itteration/Batch: 100/2176: Loss: 1.02 | Accuracy: 0.95
[Training] Itteration/Batch: 125/2176: Loss: 1.00 | Accuracy: 0.96
[Training] Itteration/Batch: 150/2176: Loss: 0.28 | Accuracy: 1.00
[Training] Itteration/Batch: 175/2176: Loss: 1.71 | Accuracy: 0.86
[Training] Itteration/Batch: 200/2176: Loss: 0.66 | Accuracy: 0.97
[Training] Itteration/Batch: 225/2176: Loss: 0.56 | Accuracy: 1.00
[Training] Itteration/Batch: 250/2176: Loss: 0.45 | Accuracy: 0.98
[Training] Itteration/Batch: 275/2176: Loss: 0.48 | Accuracy: 0.98
[Training] Itteration/Batch: 300/2176: Loss: 0.88 | Accuracy: 0.92
[Training] Itteration/Batch: 325/2176: Loss: 0.92 | Accuracy: 0.98
[Training] Itteration/Batch: 350/2176: Loss: 0.44 | Accuracy: 0.98
[Training] Itteration/Batch: 375/2176: Loss: 0.30 | Accuracy: 1.00
[Training] Itteration/Batch: 400/2176: Loss: 0.90 | Accuracy: 0.91
[Training] Itteration/Batch: 425/2176: Loss: 1.48 | Accuracy: 0.91
[Training] Itteration/Batch: 450/2176: Loss: 0.20 | Accuracy: 1.00
[Training] Itteration/Batch: 475/2176: Loss: 0.83 | Accuracy: 0.89
[Training] Itteration/Batch: 500/2176: Loss: 0.40 | Accuracy: 0.96
[Training] Itteration/Batch: 525/2176: Loss: 0.22 | Accuracy: 1.00
[Training] Itteration/Batch: 550/2176: Loss: 2.12 | Accuracy: 0.95
[Training] Itteration/Batch: 575/2176: Loss: 0.41 | Accuracy: 0.98
[Training] Itteration/Batch: 600/2176: Loss: 0.76 | Accuracy: 0.93
[Training] Itteration/Batch: 625/2176: Loss: 1.40 | Accuracy: 0.90
[Training] Itteration/Batch: 650/2176: Loss: 0.38 | Accuracy: 0.95
[Training] Itteration/Batch: 675/2176: Loss: 0.15 | Accuracy: 1.00
[Training] Itteration/Batch: 700/2176: Loss: 0.44 | Accuracy: 0.96
[Training] Itteration/Batch: 725/2176: Loss: 0.50 | Accuracy: 0.98
[Training] Itteration/Batch: 750/2176: Loss: 0.68 | Accuracy: 0.98
[Training] Itteration/Batch: 775/2176: Loss: 0.86 | Accuracy: 0.93
[Training] Itteration/Batch: 800/2176: Loss: 0.44 | Accuracy: 0.98
[Training] Itteration/Batch: 825/2176: Loss: 0.48 | Accuracy: 0.94
[Training] Itteration/Batch: 850/2176: Loss: 0.28 | Accuracy: 1.00
[Training] Itteration/Batch: 875/2176: Loss: 7.06 | Accuracy: 0.92
[Training] Itteration/Batch: 900/2176: Loss: 0.47 | Accuracy: 0.95
[Training] Itteration/Batch: 925/2176: Loss: 4.68 | Accuracy: 0.85
[Training] Itteration/Batch: 950/2176: Loss: 0.64 | Accuracy: 0.98
[Training] Itteration/Batch: 975/2176: Loss: 0.42 | Accuracy: 0.98
[Training] Itteration/Batch: 1000/2176: Loss: 0.68 | Accuracy: 0.98
[Training] Itteration/Batch: 1025/2176: Loss: 0.54 | Accuracy: 0.98
[Training] Itteration/Batch: 1050/2176: Loss: 1.04 | Accuracy: 0.93
[Training] Itteration/Batch: 1075/2176: Loss: 0.52 | Accuracy: 0.93
[Training] Itteration/Batch: 1100/2176: Loss: 2.35 | Accuracy: 0.96
[Training] Itteration/Batch: 1125/2176: Loss: 1.18 | Accuracy: 0.93
[Training] Itteration/Batch: 1150/2176: Loss: 1.02 | Accuracy: 0.93
[Training] Itteration/Batch: 1175/2176: Loss: 0.44 | Accuracy: 0.95
[Training] Itteration/Batch: 1200/2176: Loss: 0.30 | Accuracy: 0.98
[Training] Itteration/Batch: 1225/2176: Loss: 0.17 | Accuracy: 1.00
[Training] Itteration/Batch: 1250/2176: Loss: 0.47 | Accuracy: 0.98
[Training] Itteration/Batch: 1275/2176: Loss: 0.47 | Accuracy: 0.98
[Training] Itteration/Batch: 1300/2176: Loss: 0.21 | Accuracy: 1.00
[Training] Itteration/Batch: 1325/2176: Loss: 0.52 | Accuracy: 0.96
[Training] Itteration/Batch: 1350/2176: Loss: 0.19 | Accuracy: 1.00
[Training] Itteration/Batch: 1375/2176: Loss: 0.19 | Accuracy: 1.00
[Training] Itteration/Batch: 1400/2176: Loss: 0.60 | Accuracy: 0.94
[Training] Itteration/Batch: 1425/2176: Loss: 0.18 | Accuracy: 1.00
[Training] Itteration/Batch: 1450/2176: Loss: 0.38 | Accuracy: 0.95
[Training] Itteration/Batch: 1475/2176: Loss: 2.37 | Accuracy: 0.97
[Training] Itteration/Batch: 1500/2176: Loss: 0.74 | Accuracy: 0.94
[Training] Itteration/Batch: 1525/2176: Loss: 0.91 | Accuracy: 0.95
[Training] Itteration/Batch: 1550/2176: Loss: 0.42 | Accuracy: 0.98
[Training] Itteration/Batch: 1575/2176: Loss: 0.51 | Accuracy: 0.98
[Training] Itteration/Batch: 1600/2176: Loss: 0.48 | Accuracy: 0.97
[Training] Itteration/Batch: 1625/2176: Loss: 0.86 | Accuracy: 0.97
[Training] Itteration/Batch: 1650/2176: Loss: 1.46 | Accuracy: 0.98
[Training] Itteration/Batch: 1675/2176: Loss: 0.16 | Accuracy: 1.00
[Training] Itteration/Batch: 1700/2176: Loss: 0.39 | Accuracy: 0.94
[Training] Itteration/Batch: 1725/2176: Loss: 0.60 | Accuracy: 0.98
[Training] Itteration/Batch: 1750/2176: Loss: 1.09 | Accuracy: 0.95
[Training] Itteration/Batch: 1775/2176: Loss: 0.14 | Accuracy: 1.00
[Training] Itteration/Batch: 1800/2176: Loss: 1.07 | Accuracy: 0.89
[Training] Itteration/Batch: 1825/2176: Loss: 0.73 | Accuracy: 0.98
[Training] Itteration/Batch: 1850/2176: Loss: 0.15 | Accuracy: 1.00
[Training] Itteration/Batch: 1875/2176: Loss: 0.98 | Accuracy: 0.90
[Training] Itteration/Batch: 1900/2176: Loss: 0.15 | Accuracy: 1.00
[Training] Itteration/Batch: 1925/2176: Loss: 0.56 | Accuracy: 0.98
[Training] Itteration/Batch: 1950/2176: Loss: 0.30 | Accuracy: 0.96
[Training] Itteration/Batch: 1975/2176: Loss: 0.75 | Accuracy: 0.94
[Training] Itteration/Batch: 2000/2176: Loss: 0.17 | Accuracy: 1.00
[Training] Itteration/Batch: 2025/2176: Loss: 0.33 | Accuracy: 0.98
[Training] Itteration/Batch: 2050/2176: Loss: 0.49 | Accuracy: 0.98
[Training] Itteration/Batch: 2075/2176: Loss: 0.16 | Accuracy: 1.00
[Training] Itteration/Batch: 2100/2176: Loss: 0.26 | Accuracy: 1.00
[Training] Itteration/Batch: 2125/2176: Loss: 0.19 | Accuracy: 1.00
[Training] Itteration/Batch: 2150/2176: Loss: 1.72 | Accuracy: 0.94
[Training] Itteration/Batch: 2175/2176: Loss: 0.43 | Accuracy: 1.00

Epoch 5: Val Bin. F1 Majority 0.4396442174911499 | Val Macro F1 Majority 0.7099858243134252 |             Val Bin F1 Individual 0.4132334589958191 | Val Macro F1 Individual 0.6950392337689033 |             Val Accuracy Majority 0.9619892835617065 | Val Accuracy Individual 0.9554481506347656 | Training Loss:0.7734847068786621 |             Val Loss 1.0491325855255127 | Train Runtime Millis 227484.07821898581 | Val Runtime Millis 43678.00584301585

______________________________	 Running Epoch 6 of 10 	______________________________
[Training] Itteration/Batch:   0/2176: Loss: 1.14 | Accuracy: 0.94
[Training] Itteration/Batch:  25/2176: Loss: 0.40 | Accuracy: 0.98
[Training] Itteration/Batch:  50/2176: Loss: 0.26 | Accuracy: 1.00
[Training] Itteration/Batch:  75/2176: Loss: 0.25 | Accuracy: 1.00
[Training] Itteration/Batch: 100/2176: Loss: 1.37 | Accuracy: 0.95
[Training] Itteration/Batch: 125/2176: Loss: 0.86 | Accuracy: 0.95
[Training] Itteration/Batch: 150/2176: Loss: 0.73 | Accuracy: 0.92
[Training] Itteration/Batch: 175/2176: Loss: 0.26 | Accuracy: 1.00
[Training] Itteration/Batch: 200/2176: Loss: 0.68 | Accuracy: 0.98
[Training] Itteration/Batch: 225/2176: Loss: 2.08 | Accuracy: 0.93
[Training] Itteration/Batch: 250/2176: Loss: 0.22 | Accuracy: 1.00
[Training] Itteration/Batch: 275/2176: Loss: 1.33 | Accuracy: 0.97
[Training] Itteration/Batch: 300/2176: Loss: 0.76 | Accuracy: 0.93
[Training] Itteration/Batch: 325/2176: Loss: 0.44 | Accuracy: 0.98
[Training] Itteration/Batch: 350/2176: Loss: 0.59 | Accuracy: 0.97
[Training] Itteration/Batch: 375/2176: Loss: 0.85 | Accuracy: 0.85
[Training] Itteration/Batch: 400/2176: Loss: 0.50 | Accuracy: 0.93
[Training] Itteration/Batch: 425/2176: Loss: 0.66 | Accuracy: 0.91
[Training] Itteration/Batch: 450/2176: Loss: 0.20 | Accuracy: 1.00
[Training] Itteration/Batch: 475/2176: Loss: 0.16 | Accuracy: 1.00
[Training] Itteration/Batch: 500/2176: Loss: 0.50 | Accuracy: 1.00
[Training] Itteration/Batch: 525/2176: Loss: 0.60 | Accuracy: 0.97
[Training] Itteration/Batch: 550/2176: Loss: 0.43 | Accuracy: 0.98
[Training] Itteration/Batch: 575/2176: Loss: 0.79 | Accuracy: 0.95
[Training] Itteration/Batch: 600/2176: Loss: 0.15 | Accuracy: 1.00
[Training] Itteration/Batch: 625/2176: Loss: 0.17 | Accuracy: 1.00
[Training] Itteration/Batch: 650/2176: Loss: 0.16 | Accuracy: 1.00
[Training] Itteration/Batch: 675/2176: Loss: 1.36 | Accuracy: 0.98
[Training] Itteration/Batch: 700/2176: Loss: 0.70 | Accuracy: 0.96
[Training] Itteration/Batch: 725/2176: Loss: 0.44 | Accuracy: 0.96
[Training] Itteration/Batch: 750/2176: Loss: 0.38 | Accuracy: 0.97
[Training] Itteration/Batch: 775/2176: Loss: 0.72 | Accuracy: 0.98
[Training] Itteration/Batch: 800/2176: Loss: 0.19 | Accuracy: 1.00
[Training] Itteration/Batch: 825/2176: Loss: 3.87 | Accuracy: 0.93
[Training] Itteration/Batch: 850/2176: Loss: 0.13 | Accuracy: 1.00
[Training] Itteration/Batch: 875/2176: Loss: 1.28 | Accuracy: 0.93
[Training] Itteration/Batch: 900/2176: Loss: 0.22 | Accuracy: 1.00
[Training] Itteration/Batch: 925/2176: Loss: 0.16 | Accuracy: 1.00
[Training] Itteration/Batch: 950/2176: Loss: 0.20 | Accuracy: 1.00
[Training] Itteration/Batch: 975/2176: Loss: 0.53 | Accuracy: 0.95
[Training] Itteration/Batch: 1000/2176: Loss: 0.39 | Accuracy: 1.00
[Training] Itteration/Batch: 1025/2176: Loss: 0.45 | Accuracy: 0.98
[Training] Itteration/Batch: 1050/2176: Loss: 0.39 | Accuracy: 0.98
[Training] Itteration/Batch: 1075/2176: Loss: 1.01 | Accuracy: 0.98
[Training] Itteration/Batch: 1100/2176: Loss: 0.14 | Accuracy: 1.00
[Training] Itteration/Batch: 1125/2176: Loss: 0.44 | Accuracy: 0.98
[Training] Itteration/Batch: 1150/2176: Loss: 0.79 | Accuracy: 0.91
[Training] Itteration/Batch: 1175/2176: Loss: 0.66 | Accuracy: 0.97
[Training] Itteration/Batch: 1200/2176: Loss: 1.25 | Accuracy: 0.98
[Training] Itteration/Batch: 1225/2176: Loss: 0.87 | Accuracy: 0.98
[Training] Itteration/Batch: 1250/2176: Loss: 1.84 | Accuracy: 0.88
[Training] Itteration/Batch: 1275/2176: Loss: 0.67 | Accuracy: 0.98
[Training] Itteration/Batch: 1300/2176: Loss: 0.38 | Accuracy: 0.98
[Training] Itteration/Batch: 1325/2176: Loss: 0.64 | Accuracy: 0.94
[Training] Itteration/Batch: 1350/2176: Loss: 0.33 | Accuracy: 1.00
[Training] Itteration/Batch: 1375/2176: Loss: 0.55 | Accuracy: 0.96
[Training] Itteration/Batch: 1400/2176: Loss: 0.13 | Accuracy: 1.00
[Training] Itteration/Batch: 1425/2176: Loss: 0.18 | Accuracy: 1.00
[Training] Itteration/Batch: 1450/2176: Loss: 0.19 | Accuracy: 1.00
[Training] Itteration/Batch: 1475/2176: Loss: 0.23 | Accuracy: 1.00
[Training] Itteration/Batch: 1500/2176: Loss: 0.26 | Accuracy: 1.00
[Training] Itteration/Batch: 1525/2176: Loss: 0.54 | Accuracy: 0.95
[Training] Itteration/Batch: 1550/2176: Loss: 0.18 | Accuracy: 1.00
[Training] Itteration/Batch: 1575/2176: Loss: 0.15 | Accuracy: 1.00
[Training] Itteration/Batch: 1600/2176: Loss: 0.32 | Accuracy: 0.98
[Training] Itteration/Batch: 1625/2176: Loss: 0.51 | Accuracy: 0.98
[Training] Itteration/Batch: 1650/2176: Loss: 1.19 | Accuracy: 0.90
[Training] Itteration/Batch: 1675/2176: Loss: 0.58 | Accuracy: 0.92
[Training] Itteration/Batch: 1700/2176: Loss: 0.39 | Accuracy: 0.95
[Training] Itteration/Batch: 1725/2176: Loss: 1.66 | Accuracy: 0.87
[Training] Itteration/Batch: 1750/2176: Loss: 0.75 | Accuracy: 0.97
[Training] Itteration/Batch: 1775/2176: Loss: 0.25 | Accuracy: 1.00
[Training] Itteration/Batch: 1800/2176: Loss: 0.17 | Accuracy: 1.00
[Training] Itteration/Batch: 1825/2176: Loss: 0.45 | Accuracy: 0.93
[Training] Itteration/Batch: 1850/2176: Loss: 0.46 | Accuracy: 0.98
[Training] Itteration/Batch: 1875/2176: Loss: 1.29 | Accuracy: 0.89
[Training] Itteration/Batch: 1900/2176: Loss: 0.16 | Accuracy: 1.00
[Training] Itteration/Batch: 1925/2176: Loss: 0.66 | Accuracy: 0.95
[Training] Itteration/Batch: 1950/2176: Loss: 2.73 | Accuracy: 0.86
[Training] Itteration/Batch: 1975/2176: Loss: 0.54 | Accuracy: 0.98
[Training] Itteration/Batch: 2000/2176: Loss: 0.71 | Accuracy: 0.94
[Training] Itteration/Batch: 2025/2176: Loss: 0.25 | Accuracy: 1.00
[Training] Itteration/Batch: 2050/2176: Loss: 0.94 | Accuracy: 0.89
[Training] Itteration/Batch: 2075/2176: Loss: 1.97 | Accuracy: 0.89
[Training] Itteration/Batch: 2100/2176: Loss: 0.94 | Accuracy: 0.88
[Training] Itteration/Batch: 2125/2176: Loss: 0.77 | Accuracy: 0.97
[Training] Itteration/Batch: 2150/2176: Loss: 0.40 | Accuracy: 0.98
[Training] Itteration/Batch: 2175/2176: Loss: 0.15 | Accuracy: 1.00

Epoch 6: Val Bin. F1 Majority 0.46685081720352173 | Val Macro F1 Majority 0.7248400051119719 |             Val Bin F1 Individual 0.42489850521087646 | Val Macro F1 Individual 0.7020121241203665 |             Val Accuracy Majority 0.9667298793792725 | Val Accuracy Individual 0.9597137570381165 | Training Loss:0.709606409072876 |             Val Loss 1.1291011571884155 | Train Runtime Millis 227804.6937919862 | Val Runtime Millis 43447.53080900409

